Sample Number,1
Channel Number,1
Date & Time,2026-06-24 14:05:50.923660
Vopen (V),0.423
Ishort (A),15.1
Vmaxp (V),0.362
Imaxp (A),14.9
Pmax (W),5.3938
0.497,286.3,142.2911
0.496,288.6,143.1456
0.494,290.9,143.7046
0.492,293.2,144.2544
0.49,295.5,144.795
0.488,297.9,145.3752
0.485,300.2,145.597
0.483,302.5,146.1075
0.481,304.8,146.6088
0.478,307.8,147.1284
0.474,309.4,146.6556
0.47,311.7,146.499
0.465,314.0,146.01
0.458,316.3,144.8654
0.453,318.6,144.3258
0.449,320.9,144.0841
0.445,323.3,143.8685
0.439,325.6,142.9384
0.435,327.9,142.6365
0.429,330.2,141.6558
0.423,332.5,140.6475
0.415,334.8,138.942
0.407,337.1,137.1997
0.398,339.4,135.0812
0.384,341.7,131.2128
0.369,344.0,126.936
0.0,346.4,0.0
END OF SAMPLE

Sample Number,11
Channel Number,1
Date & Time,2026-06-24 16:32:28.499678
Vopen (V),0.567
Ishort (A),362.3
Vmaxp (V),0.48
Imaxp (A),301.9
Pmax (W),144.91199999999998
V (V),I (A),P (W)
0.566,2.4,1.3584
0.565,4.8,2.712
0.565,7.2,4.068
0.565,9.6,5.424
0.565,12.0,6.78
0.564,14.4,8.1216
0.564,16.9,9.5316
0.564,19.3,10.8852
0.564,21.7,12.2388
0.563,24.1,13.5683
0.563,26.5,14.9195
0.563,28.9,16.2707
0.563,31.3,17.6219
0.562,33.8,18.9956
0.562,36.2,20.3444
0.562,38.6,21.6932
0.561,41.0,23.001
0.561,43.4,24.3474
0.561,45.8,25.6938
0.561,48.3,27.0963
0.56,50.7,28.392
0.56,53.1,29.736
0.56,55.5,31.08
0.559,57.9,32.3661
0.559,60.3,33.7077
0.559,62.7,35.0493
0.558,65.2,36.3816
0.558,67.6,37.7208
0.558,70.0,39.06
0.557,72.4,40.3268
0.557,74.8,41.6636
0.557,77.2,43.0004
0.556,79.7,44.3132
0.556,82.1,45.6476
0.556,84.5,46.982
0.555,86.9,48.2295
0.555,89.3,49.5615
0.555,91.7,50.8935
0.554,94.1,52.1314
0.554,96.6,53.5164
0.554,99.0,54.846
0.553,101.4,56.0742
0.553,103.8,57.4014
0.553,106.2,58.7286
0.552,108.6,59.9472
0.552,111.1,61.3272
0.551,113.5,62.5385
0.551,115.9,63.8609
0.551,118.3,65.1833
0.55,120.7,66.385
0.549,123.1,67.5819
0.549,125.5,68.8995
0.549,128.0,70.272
0.548,130.4,71.4592
0.548,132.8,72.7744
0.547,135.2,73.9544
0.547,137.6,75.2672
0.546,140.0,76.44
0.546,142.5,77.805
0.546,144.9,79.1154
0.545,147.3,80.2785
0.545,149.7,81.5865
0.544,152.1,82.7424
0.544,154.5,84.048
0.543,156.9,85.1967
0.543,159.4,86.5542
0.542,161.8,87.6956
0.542,164.2,88.9964
0.541,166.6,90.1306
0.541,169.0,91.429
0.54,171.4,92.556
0.539,173.9,93.7321
0.539,176.3,95.0257
0.538,178.7,96.1406
0.538,181.1,97.4318
0.537,183.5,98.5395
0.537,185.9,99.8283
0.536,188.3,100.9288
0.536,190.8,102.2688
0.535,193.2,103.362
0.534,195.6,104.4504
0.534,198.0,105.732
0.533,200.4,106.8132
0.533,202.8,108.0924
0.532,205.3,109.2196
0.531,207.7,110.2887
0.53,210.1,111.353
0.529,212.5,112.4125
0.529,214.9,113.6821
0.528,217.3,114.7344
0.527,219.7,115.7819
0.527,222.2,117.0994
0.526,224.6,118.1396
0.525,227.0,119.175
0.524,229.4,120.2056
0.523,231.8,121.2314
0.522,234.2,122.2524
0.521,236.7,123.3207
0.521,239.1,124.5711
0.52,241.5,125.58
0.519,243.9,126.5841
0.518,246.3,127.5834
0.517,248.7,128.5779
0.516,251.1,129.5676
0.515,253.6,130.604
0.513,256.0,131.328
0.512,258.4,132.3008
0.51,260.8,133.008
0.509,263.2,133.9688
0.508,265.6,134.9248
0.507,268.1,135.9267
0.505,270.5,136.6025
0.503,272.9,137.2687
0.501,275.3,137.9253
0.499,277.7,138.5723
0.498,280.1,139.4898
0.496,282.5,140.12
0.494,285.0,140.79
0.492,287.4,141.4008
0.49,289.8,142.002
0.488,292.2,142.5936
0.485,294.6,142.881
0.483,297.0,143.451
0.481,299.5,144.0595
0.48,301.9,144.912
0.475,304.3,144.5425
0.47,306.7,144.149
0.464,309.1,143.4224
0.457,311.5,142.3555
0.452,313.9,141.8828
0.447,316.4,141.4308
0.442,318.8,140.9096
0.437,321.2,140.3644
0.43,323.6,139.148
0.424,326.0,138.224
0.417,328.4,136.9428
0.409,330.9,135.3381
0.399,333.3,132.9867
0.386,335.7,129.5802
0.37,338.1,125.097
0.347,340.5,118.1535
0.314,342.9,107.6706
0.262,345.3,90.4686
0.12,347.8,41.736
0.001,350.2,0.3502
0.001,352.6,0.3526
0.001,355.0,0.355
0.001,357.4,0.3574
0.001,359.8,0.3598
0.0,362.3,0.0
END OF SAMPLE

